Word; Meaning; Example; Image; Sound; SoundMeaning; SoundExample; PartOfSpeach; Number; Amount; 
you; second-person pronoun; you are kind; you-pron.jpg; you-pron.mp3; you-pron-meaning.mp3; you-pron-example.mp3; pronoun; 14; 695498; 
he; third-person masculine pronoun; he is tall; he-pron.jpg; he-pron.mp3; he-pron-meaning.mp3; he-pron-example.mp3; pronoun; 15; 681255; 
on; in contact with a surface; the book is on the table; on-prep.jpg; on-prep.mp3; on-prep-meaning.mp3; on-prep-example.mp3; preposition; 16; 680739; 
with; accompanied by; coffee with sugar; with-prep.jpg; with-prep.mp3; with-prep-meaning.mp3; with-prep-example.mp3; preposition; 17; 675027; 
do; perform an action; do your homework; do-v.jpg; do-v.mp3; do-v-meaning.mp3; do-v-example.mp3; verb; 18; 559596; 
at; expressing location or time; at 5 PM; at-prep.jpg; at-prep.mp3; at-prep-meaning.mp3; at-prep-example.mp3; preposition; 19; 534162; 
by; identifying the agent performing an action; written by Shakespeare; by-prep.jpg; by-prep.mp3; by-prep-meaning.mp3; by-prep-example.mp3; preposition; 20; 517171; 
not; negating a verb; do not go; not-adv.jpg; not-adv.mp3; not-adv-meaning.mp3; not-adv-example.mp3; adverb; 21; 465486; 
this; referring to something near; this book is interesting; this-det.jpg; this-det.mp3; this-det-meaning.mp3; this-det-example.mp3; determiner; 22; 461945; 
but; introducing a contrast; poor but happy; but-conj.jpg; but-conj.mp3; but-conj-meaning.mp3; but-conj-example.mp3; conjunction; 23; 459622; 
from; indicating the origin; a letter from home; from-prep.jpg; from-prep.mp3; from-prep-meaning.mp3; from-prep-example.mp3; preposition; 24; 434532; 
they; third-person plural pronoun; they are coming; they-pron.jpg; they-pron.mp3; they-pron-meaning.mp3; they-pron-example.mp3; pronoun; 25; 433441; 
his; belonging to a male; his car; his-det.jpg; his-det.mp3; his-det-meaning.mp3; his-det-example.mp3; determiner; 26; 426896; 
that; referring to something distant; that house is big; that-det.jpg; that-det.mp3; that-det-meaning.mp3; that-det-example.mp3; determiner; 27; 384313; 
she; third-person feminine pronoun; she sings well; she-pron.jpg; she-pron.mp3; she-pron-meaning.mp3; she-pron-example.mp3; pronoun; 28; 380257; 
or; introducing alternatives; tea or coffee?; or-conj.jpg; or-conj.mp3; or-conj-meaning.mp3; or-conj-example.mp3; conjunction; 29; 373808; 
which; asking for information specifying something; which book is yours?; which-det.jpg; which-det.mp3; which-det-meaning.mp3; which-det-example.mp3; determiner; 30; 372031; 
as; in the role of; as a teacher; as-conj.jpg; as-conj.mp3; as-conj-meaning.mp3; as-conj-example.mp3; conjunction; 31; 364164; 
we; first-person plural pronoun; we are ready; we-pron.jpg; we-pron.mp3; we-pron-meaning.mp3; we-pron-example.mp3; pronoun; 32; 358039; 
an; used before a vowel sound; an apple; an-det.jpg; an-det.mp3; an-det-meaning.mp3; an-det-example.mp3; determiner; 33; 343063; 
say; utter words; say hello; say-v.jpg; say-v.mp3; say-v-meaning.mp3; say-v-example.mp3; verb; 34; 333518; 
will; expressing future tense; I will call you; will-modal.jpg; will-modal.mp3; will-modal-meaning.mp3; will-modal-example.mp3; modal verb; 35; 297281; 
would; expressing a conditional action; I would go if I could; would-modal.jpg; would-modal.mp3; would-modal-meaning.mp3; would-modal-example.mp3; modal verb; 36; 272345; 
can; expressing ability; I can swim; can-modal.jpg; can-modal.mp3; can-modal-meaning.mp3; can-modal-example.mp3; modal verb; 37; 266116; 
if; introducing a condition; if it rains, we’ll stay; if-conj.jpg; if-conj.mp3; if-conj-meaning.mp3; if-conj-example.mp3; conjunction; 38; 261089; 
their; belonging to them; their house; their-det.jpg; their-det.mp3; their-det-meaning.mp3; their-det-example.mp3; determiner; 39; 260919; 
go; move from one place to another; go home; go-v.jpg; go-v.mp3; go-v-meaning.mp3; go-v-example.mp3; verb; 40; 249540; 
what; asking for information; what is your name?; what-det.jpg; what-det.mp3; what-det-meaning.mp3; what-det-example.mp3; determiner; 41; 249466; 
there; in or at that place; the book is there; there-pron.jpg; there-pron.mp3; there-pron-meaning.mp3; there-pron-example.mp3; pronoun; 42; 239460; 
all; the whole quantity; all students passed; all-det.jpg; all-det.mp3; all-det-meaning.mp3; all-det-example.mp3; determiner; 43; 230737; 
get; obtain or receive; get a job; get-v.jpg; get-v.mp3; get-v-meaning.mp3; get-v-example.mp3; verb; 44; 220940; 
her; belonging to a female; her bag; her-det.jpg; her-det.mp3; her-det-meaning.mp3; her-det-example.mp3; determiner; 45; 218258; 
make; create or produce; make a cake; make-v.jpg; make-v.mp3; make-v-meaning.mp3; make-v-example.mp3; verb; 46; 217268; 
who; asking about a person; who is she?; who-pron.jpg; who-pron.mp3; who-pron-meaning.mp3; who-pron-example.mp3; pronoun; 47; 205432; 
as; in the capacity of; as a doctor; as-prep.jpg; as-prep.mp3; as-prep-meaning.mp3; as-prep-example.mp3; preposition; 48; 201968; 
out; away from the inside; go out; out-adv.jpg; out-adv.mp3; out-adv-meaning.mp3; out-adv-example.mp3; adverb; 49; 201819; 
up; toward a higher position; look up; up-adv.jpg; up-adv.mp3; up-adv-meaning.mp3; up-adv-example.mp3; adverb; 50; 195426; 
see; perceive with the eyes; see the bird; see-v.jpg; see-v.mp3; see-v-meaning.mp3; see-v-example.mp3; verb; 51; 191661; 
know; have knowledge; I know the answer; know-v.jpg; know-v.mp3; know-v-meaning.mp3; know-v-example.mp3; verb; 52; 185534; 
time; indefinite continued progress; time flies; time-n.jpg; time-n.mp3; time-n-meaning.mp3; time-n-example.mp3; noun; 53; 183427; 
take; lay hold of; take the book; take-v.jpg; take-v.mp3; take-v-meaning.mp3; take-v-example.mp3; verb; 54; 179220; 
them; object form of 'they'; give them food; them-pron.jpg; them-pron.mp3; them-pron-meaning.mp3; them-pron-example.mp3; pronoun; 55; 173414; 
some; an unspecified amount; some water; some-det.jpg; some-det.mp3; some-det-meaning.mp3; some-det-example.mp3; determiner; 56; 171174; 
could; past ability or possibility; I could swim as a child; could-modal.jpg; could-modal.mp3; could-modal-meaning.mp3; could-modal-example.mp3; modal verb; 57; 168387; 
so; to such a degree; so tired; so-adv.jpg; so-adv.mp3; so-adv-meaning.mp3; so-adv-example.mp3; adverb; 58; 167324; 
him; object form of 'he'; tell him; him-pron.jpg; him-pron.mp3; him-pron-meaning.mp3; him-pron-example.mp3; pronoun; 59; 165014; 
year; period of 365 days; next year; year-n.jpg; year-n.mp3; year-n-meaning.mp3; year-n-example.mp3; noun; 60; 163930; 
into; expressing movement inside; go into the room; into-prep.jpg; into-prep.mp3; into-prep-meaning.mp3; into-prep-example.mp3; preposition; 61; 163469; 
its; belonging to it; its color; its-det.jpg; its-det.mp3; its-det-meaning.mp3; its-det-example.mp3; determiner; 62; 163081; 
then; at that time; back then; then-adv.jpg; then-adv.mp3; then-adv-meaning.mp3; then-adv-example.mp3; adverb; 63; 160652; 
think; have an opinion; I think so; think-v.jpg; think-v.mp3; think-v-meaning.mp3; think-v-example.mp3; verb; 64; 153881; 
my; belonging to me; my book; my-det.jpg; my-det.mp3; my-det-meaning.mp3; my-det-example.mp3; determiner; 65; 152619; 
come; move toward; come here; come-v.jpg; come-v.mp3; come-v-meaning.mp3; come-v-example.mp3; verb; 66; 151871; 
than; used in comparisons; taller than me; than-conj.jpg; than-conj.mp3; than-conj-meaning.mp3; than-conj-example.mp3; conjunction; 67; 147618; 
more; greater amount; more time; more-adv.jpg; more-adv.mp3; more-adv-meaning.mp3; more-adv-example.mp3; adverb; 68; 146029; 
about; on the subject of; talk about love; about-prep.jpg; about-prep.mp3; about-prep-meaning.mp3; about-prep-example.mp3; preposition; 69; 144554; 
now; at the present time; do it now; now-adv.jpg; now-adv.mp3; now-adv-meaning.mp3; now-adv-example.mp3; adverb; 70; 143801; 
last; final in a series; the last page; last-a.jpg; last-a.mp3; last-a-meaning.mp3; last-a-example.mp3; adjective; 71; 140063; 
your; belonging to you; your car; your-det.jpg; your-det.mp3; your-det-meaning.mp3; your-det-example.mp3; determiner; 72; 138334; 
me; object form of 'I'; tell me; me-pron.jpg; me-pron.mp3; me-pron-meaning.mp3; me-pron-example.mp3; pronoun; 73; 138151; 
no; not any; no money; no-det.jpg; no-det.mp3; no-det-meaning.mp3; no-det-example.mp3; determiner; 74; 137026; 
other; different; other people; other-a.jpg; other-a.mp3; other-a-meaning.mp3; other-a-example.mp3; adjective; 75; 135185; 
give; transfer possession; give a gift; give-v.jpg; give-v.mp3; give-v-meaning.mp3; give-v-example.mp3; verb; 76; 131417; 
just; exactly; just right; just-adv.jpg; just-adv.mp3; just-adv-meaning.mp3; just-adv-example.mp3; adverb; 77; 128517; 
should; expressing obligation; you should go; should-modal.jpg; should-modal.mp3; should-modal-meaning.mp3; should-modal-example.mp3; modal verb; 78; 128393; 
these; plural of 'this'; these books; these-det.jpg; these-det.mp3; these-det-meaning.mp3; these-det-example.mp3; determiner; 79; 125442; 
people; human beings; many people; people-n.jpg; people-n.mp3; people-n-meaning.mp3; people-n-example.mp3; noun; 80; 125430; 
also; in addition; also happy; also-adv.jpg; also-adv.mp3; also-adv-meaning.mp3; also-adv-example.mp3; adverb; 81; 124884; 
well; in a good way; do well; well-adv.jpg; well-adv.mp3; well-adv-meaning.mp3; well-adv-example.mp3; adverb; 82; 124451; 
any; some, no matter how much; any book; any-det.jpg; any-det.mp3; any-det-meaning.mp3; any-det-example.mp3; determiner; 83; 123655; 
only; solely; only one; only-adv.jpg; only-adv.mp3; only-adv-meaning.mp3; only-adv-example.mp3; adverb; 84; 122128; 
new; recently made; a new car; new-a.jpg; new-a.mp3; new-a-meaning.mp3; new-a-example.mp3; adjective; 85; 115523; 
very; to a high degree; very happy; very-adv.jpg; very-adv.mp3; very-adv-meaning.mp3; very-adv-example.mp3; adverb; 86; 114911; 
when; at what time; when is it?; when-conj.jpg; when-conj.mp3; when-conj-meaning.mp3; when-conj-example.mp3; conjunction; 87; 113655; 
may; expressing possibility; it may rain; may-modal.jpg; may-modal.mp3; may-modal-meaning.mp3; may-modal-example.mp3; modal verb; 88; 113024; 
way; method or path; the right way; way-n.jpg; way-n.mp3; way-n-meaning.mp3; way-n-example.mp3; noun; 89; 112636; 
look; direct one's gaze; look here; look-v.jpg; look-v.mp3; look-v-meaning.mp3; look-v-example.mp3; verb; 90; 111058; 
like; similar to; like a bird; like-prep.jpg; like-prep.mp3; like-prep-meaning.mp3; like-prep-example.mp3; preposition; 91; 110090; 
use; employ for a purpose; use a pen; use-v.jpg; use-v.mp3; use-v-meaning.mp3; use-v-example.mp3; verb; 92; 108820; 
her; object form of 'she'; see her; her-pron.jpg; her-pron.mp3; her-pron-meaning.mp3; her-pron-example.mp3; pronoun; 93; 108710; 
such; of that kind; such beauty; such-det.jpg; such-det.mp3; such-det-meaning.mp3; such-det-example.mp3; determiner; 94; 108524; 
how; in what way; how are you?; how-adv.jpg; how-adv.mp3; how-adv-meaning.mp3; how-adv-example.mp3; adverb; 95; 103508; 
because; for the reason that; happy because I won; because-conj.jpg; because-conj.mp3; because-conj-meaning.mp3; because-conj-example.mp3; conjunction; 96; 103003; 
when; at or during the time; when I was young; when-adv.jpg; when-adv.mp3; when-adv-meaning.mp3; when-adv-example.mp3; adverb; 97; 102621; 
as; to the same degree; as fast as; as-adv.jpg; as-adv.mp3; as-adv-meaning.mp3; as-adv-example.mp3; adverb; 98; 101583; 
good; of high quality; good food; good-a.jpg; good-a.mp3; good-a-meaning.mp3; good-a-example.mp3; adjective; 99; 100652; 
find; discover; find a solution; find-v.jpg; find-v.mp3; find-v-meaning.mp3; find-v-example.mp3; verb; 100; 98899; 
man; adult human male; a tall man; man-n.jpg; man-n.mp3; man-n-meaning.mp3; man-n-example.mp3; noun; 101; 97985; 
our; belonging to us; our house; our-det.jpg; our-det.mp3; our-det-meaning.mp3; our-det-example.mp3; determiner; 102; 95001; 
want; desire; want food; want-v.jpg; want-v.mp3; want-v-meaning.mp3; want-v-example.mp3; verb; 103; 94293; 
day; 24-hour period; a sunny day; day-n.jpg; day-n.mp3; day-n-meaning.mp3; day-n-example.mp3; noun; 104; 92699; 
between; in the middle of two; between us; between-prep.jpg; between-prep.mp3; between-prep-meaning.mp3; between-prep-example.mp3; preposition; 105; 91141; 
even; to a greater degree; even better; even-adv.jpg; even-adv.mp3; even-adv-meaning.mp3; even-adv-example.mp3; adverb; 106; 90473; 
there; in existence; there is hope; there-adv.jpg; there-adv.mp3; there-adv-meaning.mp3; there-adv-example.mp3; adverb; 107; 89890; 
many; a large number; many books; many-det.jpg; many-det.mp3; many-det-meaning.mp3; many-det-example.mp3; determiner; 108; 89659; 
those; plural of 'that'; those cars; those-det.jpg; those-det.mp3; those-det-meaning.mp3; those-det-example.mp3; determiner; 109; 88862; 
one; single person or thing; one book; one-pron.jpg; one-pron.mp3; one-pron-meaning.mp3; one-pron-example.mp3; pronoun; 110; 86364; 
after; following in time; after lunch; after-prep.jpg; after-prep.mp3; after-prep-meaning.mp3; after-prep-example.mp3; preposition; 111; 85939; 
down; toward a lower position; sit down; down-adv.jpg; down-adv.mp3; down-adv-meaning.mp3; down-adv-example.mp3; adverb; 112; 84446; 
yeah; informal 'yes'; yeah, I agree; yeah-interjection.jpg; yeah-interjection.mp3; yeah-interjection-meaning.mp3; yeah-interjection-example.mp3; interjection; 113; 83382; 
so; therefore; tired, so I slept; so-conj.jpg; so-conj.mp3; so-conj-meaning.mp3; so-conj-example.mp3; conjunction; 114; 79028; 
thing; an object; a strange thing; thing-n.jpg; thing-n.mp3; thing-n-meaning.mp3; thing-n-example.mp3; noun; 115; 77612; 
tell; communicate information; tell a story; tell-v.jpg; tell-v.mp3; tell-v-meaning.mp3; tell-v-example.mp3; verb; 116; 77245; 
through; from one side to another; walk through the door; through-prep.jpg; through-prep.mp3; through-prep-meaning.mp3; through-prep-example.mp3; preposition; 117; 75588; 
back; toward the rear; go back; back-adv.jpg; back-adv.mp3; back-adv-meaning.mp3; back-adv-example.mp3; adverb; 118; 75494; 
still; up to this time; still waiting; still-adv.jpg; still-adv.mp3; still-adv-meaning.mp3; still-adv-example.mp3; adverb; 119; 72774; 
must; expressing necessity; must go now; must-modal.jpg; must-modal.mp3; must-modal-meaning.mp3; must-modal-example.mp3; modal verb; 120; 72059; 
child; young human; a happy child; child-n.jpg; child-n.mp3; child-n-meaning.mp3; child-n-example.mp3; noun; 121; 71008; 
here; in this place; come here; here-adv.jpg; here-adv.mp3; here-adv-meaning.mp3; here-adv-example.mp3; adverb; 122; 70947; 
over; above; fly over the city; over-prep.jpg; over-prep.mp3; over-prep-meaning.mp3; over-prep-example.mp3; preposition; 123; 70676; 
too; excessively; too loud; too-adv.jpg; too-adv.mp3; too-adv-meaning.mp3; too-adv-example.mp3; adverb; 124; 70164; 
put; place in a position; put it there; put-v.jpg; put-v.mp3; put-v-meaning.mp3; put-v-example.mp3; verb; 125; 69978; 
own; belonging to oneself; my own car; own-det.jpg; own-det.mp3; own-det-meaning.mp3; own-det-example.mp3; determiner; 126; 69459; 
on; functioning; turn on the light; on-adv.jpg; on-adv.mp3; on-adv-meaning.mp3; on-adv-example.mp3; adverb; 127; 68362; 
no; negative response; no, thanks; no-interjection.jpg; no-interjection.mp3; no-interjection-meaning.mp3; no-interjection-example.mp3; interjection; 128; 67999; 
work; engage in labor; work hard; work-v.jpg; work-v.mp3; work-v-meaning.mp3; work-v-example.mp3; verb; 129; 67842; 
become; come to be; become a doctor; become-v.jpg; become-v.mp3; become-v-meaning.mp3; become-v-example.mp3; verb; 130; 67219; 
more; additional; more books; more-det.jpg; more-det.mp3; more-det-meaning.mp3; more-det-example.mp3; determiner; 131; 67198; 
old; having lived long; an old man; old-a.jpg; old-a.mp3; old-a-meaning.mp3; old-a-example.mp3; adjective; 132; 66999; 
government; governing body; the government decided; government-n.jpg; government-n.mp3; government-n-meaning.mp3; government-n-example.mp3; noun; 133; 66894; 
mean; intend to convey; what do you mean?; mean-v.jpg; mean-v.mp3; mean-v-meaning.mp3; mean-v-example.mp3; verb; 134; 66556; 
part; a piece of something; part of the book; part-n.jpg; part-n.mp3; part-n-meaning.mp3; part-n-example.mp3; noun; 135; 65773; 
leave; go away from; leave the room; leave-v.jpg; leave-v.mp3; leave-v-meaning.mp3; leave-v-example.mp3; verb; 136; 64447; 
life; existence; a happy life; life-n.jpg; life-n.mp3; life-n-meaning.mp3; life-n-example.mp3; noun; 137; 64423; 
great; very large or important; a great leader; great-a.jpg; great-a.mp3; great-a-meaning.mp3; great-a-example.mp3; adjective; 138; 64369; 
where; in or to what place; where is it?; where-adv.jpg; where-adv.mp3; where-adv-meaning.mp3; where-adv-example.mp3; adverb; 139; 64118; 
case; instance of something; in this case; case-n.jpg; case-n.mp3; case-n-meaning.mp3; case-n-example.mp3; noun; 140; 63577; 
woman; adult human female; a kind woman; woman-n.jpg; woman-n.mp3; woman-n-meaning.mp3; woman-n-example.mp3; noun; 141; 63087; 
over; finished; the game is over; over-adv.jpg; over-adv.mp3; over-adv-meaning.mp3; over-adv-example.mp3; adverb; 142; 62993; 
seem; appear to be; seem happy; seem-v.jpg; seem-v.mp3; seem-v-meaning.mp3; seem-v-example.mp3; verb; 143; 62445; 
same; identical; the same book; same-det.jpg; same-det.mp3; same-det-meaning.mp3; same-det-example.mp3; determiner; 144; 62402; 
us; object form of 'we'; tell us; us-pron.jpg; us-pron.mp3; us-pron-meaning.mp3; us-pron-example.mp3; pronoun; 145; 62350; 
work; activity involving effort; hard work; work-n.jpg; work-n.mp3; work-n-meaning.mp3; work-n-example.mp3; noun; 146; 62248; 
need; require; need help; need-v.jpg; need-v.mp3; need-v-meaning.mp3; need-v-example.mp3; verb; 147; 62201; 
feel; experience emotion; feel happy; feel-v.jpg; feel-v.mp3; feel-v-meaning.mp3; feel-v-example.mp3; verb; 148; 62185; 
system; set of connected things; solar system; system-n.jpg; system-n.mp3; system-n-meaning.mp3; system-n-example.mp3; noun; 149; 61912; 
each; every one; each student; each-det.jpg; each-det.mp3; each-det-meaning.mp3; each-det-example.mp3; determiner; 150; 61492; 
might; expressing possibility; it might rain; might-modal.jpg; might-modal.mp3; might-modal-meaning.mp3; might-modal-example.mp3; modal verb; 151; 61446; 
may; expressing permission; you may go; may-v.jpg; may-v.mp3; may-v-meaning.mp3; may-v-example.mp3; verb; 152; 61446; 
much; a large amount; much time; much-adv.jpg; much-adv.mp3; much-adv-meaning.mp3; much-adv-example.mp3; adverb; 153; 61338; 
ask; request information; ask a question; ask-v.jpg; ask-v.mp3; ask-v-meaning.mp3; ask-v-example.mp3; verb; 154; 60879; 
group; collection of people; a study group; group-n.jpg; group-n.mp3; group-n-meaning.mp3; group-n-example.mp3; noun; 155; 60689; 
number; mathematical value; a large number; number-n.jpg; number-n.mp3; number-n-meaning.mp3; number-n-example.mp3; noun; 156; 60607; 
yes; affirmative response; yes, please; yes-interjection.jpg; yes-interjection.mp3; yes-interjection-meaning.mp3; yes-interjection-example.mp3; interjection; 157; 60592; 
however; nevertheless; however, I disagree; however-adv.jpg; however-adv.mp3; however-adv-meaning.mp3; however-adv-example.mp3; adverb; 158; 60498; 
another; one more; another book; another-det.jpg; another-det.mp3; another-det-meaning.mp3; another-det-example.mp3; determiner; 159; 60182; 
again; once more; try again; again-adv.jpg; again-adv.mp3; again-adv-meaning.mp3; again-adv-example.mp3; adverb; 160; 59829; 
world; the earth; around the world; world-n.jpg; world-n.mp3; world-n-meaning.mp3; world-n-example.mp3; noun; 161; 59094; 
area; region or space; urban area; area-n.jpg; area-n.mp3; area-n-meaning.mp3; area-n-example.mp3; noun; 162; 58449; 
show; display; show the picture; show-v.jpg; show-v.mp3; show-v-meaning.mp3; show-v-example.mp3; verb; 163; 58152; 
course; series of lessons; a math course; course-n.jpg; course-n.mp3; course-n-meaning.mp3; course-n-example.mp3; noun; 164; 57776; 
company; business organization; a tech company; company-n.jpg; company-n.mp3; company-n-meaning.mp3; company-n-example.mp3; noun; 165; 57754; 
shall; expressing future; I shall return; shall-modal.jpg; shall-modal.mp3; shall-modal-meaning.mp3; shall-modal-example.mp3; modal verb; 166; 57056; 
under; beneath; under the table; under-prep.jpg; under-prep.mp3; under-prep-meaning.mp3; under-prep-example.mp3; preposition; 167; 56638; 
problem; difficulty; solve the problem; problem-n.jpg; problem-n.mp3; problem-n-meaning.mp3; problem-n-example.mp3; noun; 168; 56483; 
against; in opposition to; against the law; against-prep.jpg; against-prep.mp3; against-prep-meaning.mp3; against-prep-example.mp3; preposition; 169; 56208; 
never; at no time; never give up; never-adv.jpg; never-adv.mp3; never-adv-meaning.mp3; never-adv-example.mp3; adverb; 170; 55899; 
all; completely; all done; all-adv.jpg; all-adv.mp3; all-adv-meaning.mp3; all-adv-example.mp3; adverb; 171; 55704; 
most; greatest in amount; most people; most-adv.jpg; most-adv.mp3; most-adv-meaning.mp3; most-adv-example.mp3; adverb; 172; 54966; 
service; act of helping; customer service; service-n.jpg; service-n.mp3; service-n-meaning.mp3; service-n-example.mp3; noun; 173; 54468; 
try; attempt; try again; try-v.jpg; try-v.mp3; try-v-meaning.mp3; try-v-example.mp3; verb; 174; 54422; 
call; shout or phone; call me later; call-v.jpg; call-v.mp3; call-v-meaning.mp3; call-v-example.mp3; verb; 175; 53396; 
hand; end of the arm; raise your hand; hand-n.jpg; hand-n.mp3; hand-n-meaning.mp3; hand-n-example.mp3; noun; 176; 53265; 
party; social gathering; a birthday party; party-n.jpg; party-n.mp3; party-n-meaning.mp3; party-n-example.mp3; noun; 177; 52979; 
high; of great height; a high mountain; high-a.jpg; high-a.mp3; high-a-meaning.mp3; high-a-example.mp3; adjective; 178; 52703; 
about; approximately; about 100 people; about-adv.jpg; about-adv.mp3; about-adv-meaning.mp3; about-adv-example.mp3; adverb; 179; 52561; 
something; unspecified thing; something special; something-pron.jpg; something-pron.mp3; something-pron-meaning.mp3; something-pron-example.mp3; pronoun; 180; 52452; 
school; place of learning; go to school; school-n.jpg; school-n.mp3; school-n-meaning.mp3; school-n-example.mp3; noun; 181; 52227; 
in; fashionable; in style; in-adv.jpg; in-adv.mp3; in-adv-meaning.mp3; in-adv-example.mp3; adverb; 182; 51652; 
small; little in size; a small house; small-a.jpg; small-a.mp3; small-a-meaning.mp3; small-a-example.mp3; adjective; 183; 51626; 
place; particular position; a nice place; place-n.jpg; place-n.mp3; place-n-meaning.mp3; place-n-example.mp3; noun; 184; 51537; 
before; earlier than; before noon; before-prep.jpg; before-prep.mp3; before-prep-meaning.mp3; before-prep-example.mp3; preposition; 185; 51259; 
why; for what reason; why are you sad?; why-adv.jpg; why-adv.mp3; why-adv-meaning.mp3; why-adv-example.mp3; adverb; 186; 50877; 
while; during the time that; while I wait; while-conj.jpg; while-conj.mp3; while-conj-meaning.mp3; while-conj-example.mp3; conjunction; 187; 50548; 
away; to a different place; go away; away-adv.jpg; away-adv.mp3; away-adv-meaning.mp3; away-adv-example.mp3; adverb; 188; 50294; 
keep; retain possession; keep the change; keep-v.jpg; keep-v.mp3; keep-v-meaning.mp3; keep-v-example.mp3; verb; 189; 50092; 
point; sharp end or idea; the main point; point-n.jpg; point-n.mp3; point-n-meaning.mp3; point-n-example.mp3; noun; 190; 49187; 
house; building for living; a big house; house-n.jpg; house-n.mp3; house-n-meaning.mp3; house-n-example.mp3; noun; 191; 49022; 
different; not the same; different colors; different-a.jpg; different-a.mp3; different-a-meaning.mp3; different-a-example.mp3; adjective; 192; 48373; 
country; nation; a beautiful country; country-n.jpg; country-n.mp3; country-n-meaning.mp3; country-n-example.mp3; noun; 193; 48177; 
really; in actual fact; really happy; really-adv.jpg; really-adv.mp3; really-adv-meaning.mp3; really-adv-example.mp3; adverb; 194; 48062; 
provide; supply; provide food; provide-v.jpg; provide-v.mp3; provide-v-meaning.mp3; provide-v-example.mp3; verb; 195; 47923; 
week; seven-day period; next week; week-n.jpg; week-n.mp3; week-n-meaning.mp3; week-n-example.mp3; noun; 196; 47512; 
hold; grasp or contain; hold my hand; hold-v.jpg; hold-v.mp3; hold-v-meaning.mp3; hold-v-example.mp3; verb; 197; 47234; 
large; big in size; a large room; large-a.jpg; large-a.mp3; large-a-meaning.mp3; large-a-example.mp3; adjective; 198; 47185; 
member; part of a group; team member; member-n.jpg; member-n.mp3; member-n-meaning.mp3; member-n-example.mp3; noun; 199; 47141; 
off; away from; turn off the light; off-adv.jpg; off-adv.mp3; off-adv-meaning.mp3; off-adv-example.mp3; adverb; 200; 46285; 
always; at all times; always happy; always-adv.jpg; always-adv.mp3; always-adv-meaning.mp3; always-adv-example.mp3; adverb; 201; 46228; 
next; coming after; next week; next-det.jpg; next-det.mp3; next-det-meaning.mp3; next-det-example.mp3; determiner; 202; 46221; 
follow; go after; follow me; follow-v.jpg; follow-v.mp3; follow-v-meaning.mp3; follow-v-example.mp3; verb; 203; 46145; 
without; in absence of; without help; without-prep.jpg; without-prep.mp3; without-prep-meaning.mp3; without-prep-example.mp3; preposition; 204; 45867; 
turn; change direction; turn left; turn-v.jpg; turn-v.mp3; turn-v-meaning.mp3; turn-v-example.mp3; verb; 205; 45487; 
end; final part; the end of the story; end-n.jpg; end-n.mp3; end-n-meaning.mp3; end-n-example.mp3; noun; 206; 45160; 
within; inside; within the box; within-prep.jpg; within-prep.mp3; within-prep-meaning.mp3; within-prep-example.mp3; preposition; 207; 45042; 
local; relating to a place; local news; local-a.jpg; local-a.mp3; local-a-meaning.mp3; local-a-example.mp3; adjective; 208; 44920; 
where; in a place; stay where you are; where-conj.jpg; where-conj.mp3; where-conj-meaning.mp3; where-conj-example.mp3; conjunction; 209; 44496; 
during; throughout; during the night; during-prep.jpg; during-prep.mp3; during-prep-meaning.mp3; during-prep-example.mp3; preposition; 210; 44013; 
